node, weight
oooooooxx, 211
oooooooox, 141
xxxxxxxxx, 123
oooooooxo, 106
ooooooooo, 73
xxxxxxxxo, 69
xxxxxxoxx, 63
xxoxxooox, 38
xxxxxooxx, 35
xxxxoooxx, 31
xxoxoooox, 30
oxxxxooxo, 27
xxxxxooxo, 26
ooooooxxx, 20
xxoxoooxx, 20
xxxxxoooo, 19
oooxoooxx, 19
xxxxxxoxo, 18
xxxxooooo, 17
ooxxxoxxx, 16
ooooooxxo, 13
xxxxoxxxx, 13
ooxooooxo, 13
oooxoooox, 12
ooooooxoo, 11
ooxxoooox, 9
ooxxoooxo, 9
xooxxooxo, 9
xxxxoooxo, 9
ooxooooxx, 9
xxxxxooox, 8
ooxxxoxxo, 8
ooxxoooxx, 8
oooxxooxx, 7
xxoooooox, 6
ooxxxooxx, 6
ooxxxoxox, 5
ooooxxxxx, 5
ooooxooxx, 5
oxxxxooox, 5
ooxxxooox, 5
oxxxoooox, 5
xxxxxoxxx, 5
ooxoxxxxx, 5
oxxxoooxo, 4
ooxoxooxx, 4
xoxxxoxox, 4
xxxoxxoxx, 4
oxxxxoooo, 4
xxxoooooo, 4
xxxxxoxox, 4
xoxxxooox, 4
xxxoxoooo, 4
xxxxxxxoo, 4
xxxoxxxxx, 3
ooxxooooo, 3
xxooxxoxx, 3
oxxoooooo, 3
ooooooxox, 3
ooxoxxoxx, 3
xoxoxooxo, 3
ooooxooxo, 3
xoooxooxo, 3
oxxooooxx, 3
oxoxxooxo, 3
oxoooooxx, 3
ooooxooox, 3
xxxoxxxxo, 2
xxxxoxxxo, 2
ooooxoxxx, 2
oxooxxoxx, 2
xxooxxoxo, 2
xxxooooxo, 2
xxxoxooxo, 2
xoxxoooxx, 2
xxxooooxx, 2
oooooxxxo, 2
xxxxxxooo, 2
ooxxxoooo, 2
oooxxooox, 2
oxoxoooxx, 2
xoxxxooxx, 2
ooxxxxoxx, 2
oxxoxxxxx, 2
xxoooooxx, 2
oxoxoooox, 2
oooxoxxxo, 1
oooooxxox, 1
ooxxxxxxx, 1
ooooxxxxo, 1
xxxxoxoxx, 1
oooxoooxo, 1
ooooxoxox, 1
ooxxoxoxo, 1
xxxxxxoox, 1
ooxxxooxo, 1
xooooooxx, 1
oooxxoooo, 1
xxoxooooo, 1
xxxoxooxx, 1
xoxoxooxx, 1
oooxxoxox, 1
ooooxxoox, 1
oxooxoxox, 1
oooxooooo, 1
xoxxoooxo, 1
xoxoxxxxx, 1
